token_	Corpus	Observations	p_value	Obs/Exp
vicarage	Emma	17	0.00359778303453	4.25
up	Mansfield Park	216	0.0391461180708	1.2
us	Pride and Prejudice	123	0.0457595366389	1.26804123711
likewise	Sense and Sensibility	26	0.0100321929501	2.36363636364
miles	Northanger Abbey	22	0.025039478356	2.2
dislike	Pride and Prejudice	23	0.0447540821068	1.91666666667
resources	Emma	10	0.0461393145552	3.33333333333
continued	Sense and Sensibility	56	0.0394583959079	1.47368421053
marry	Emma	64	0.0334822811261	1.45454545455
odd	Northanger Abbey	20	0.00957351190504	2.85714285714
charade	Emma	21	0.00124647797185	4.2
great	Emma	265	0.0180467195342	1.21559633028
receive	Pride and Prejudice	28	0.0217702876159	2.0
thats	Emma	18	0.0377534730318	2.25
confidence	Sense and Sensibility	31	0.0199833388687	1.9375
doubt	Emma	98	0.00273946558353	1.58064516129
highbury	Emma	125	3.86565652149e-16	4.46428571429
of	Persuasion	2565	0.037558097107	1.0512295082
isabellas	Northanger Abbey	25	5.17864249908e-05	6.25
lock	Northanger Abbey	10	0.0461358056962	3.33333333333
greatly	Northanger Abbey	16	0.046557729889	2.28571428571
ladies	Pride and Prejudice	74	0.000931087977018	1.85
produced	Sense and Sensibility	26	0.0403326154427	1.85714285714
length	Pride and Prejudice	32	0.00567199255664	2.28571428571
scene	Mansfield Park	24	0.0494261494864	1.84615384615
affliction	Sense and Sensibility	16	0.0132986041818	3.2
good-humour	Mansfield Park	17	0.00359777994522	4.25
goddard	Emma	25	0.00043871481136	4.16666666667
heavens	Northanger Abbey	14	0.00636056699343	4.66666666667
hawkins	Emma	17	0.00359778303453	4.25
ball	Pride and Prejudice	34	0.0379361902378	1.7
off	Persuasion	69	0.0492017192698	1.38
less	Sense and Sensibility	97	0.0144548322131	1.42647058824
rooms	Northanger Abbey	29	0.000827970246494	3.22222222222
clergyman	Mansfield Park	25	0.00451880307516	2.77777777778
emma	Emma	785	2.32759506677e-93	4.48571428571
poor	Emma	136	0.00335730630414	1.44680851064
does	Emma	130	0.0115746855312	1.36842105263
sister	Sense and Sensibility	219	1.38532462369e-08	1.87179487179
sister	Pride and Prejudice	178	0.000365825002065	1.49579831933
insufficient	Pride and Prejudice	10	0.0461382814661	3.33333333333
entered	Northanger Abbey	31	0.0426918816913	1.72222222222
count	Mansfield Park	10	0.0192853460886	5.0
weston	Emma	388	3.31238375547e-47	4.51162790698
inn	Persuasion	13	0.0245152048231	3.25
monday	Northanger Abbey	12	0.0383988301202	3.0
compassion	Sense and Sensibility	20	0.0493580447517	2.0
daughter	Pride and Prejudice	77	0.000266242191107	1.97435897436
word	Emma	94	0.0162154988392	1.42424242424
work	Mansfield Park	48	0.0101419134552	1.77777777778
worn	Mansfield Park	15	0.0391720868266	2.5
after	Sense and Sensibility	202	0.0203189964317	1.24691358025
after	Pride and Prejudice	200	0.0373862538919	1.21212121212
then	Pride and Prejudice	175	0.0315277442662	1.24113475177
them	Sense and Sensibility	468	0.000340815703458	1.26829268293
them	Pride and Prejudice	435	0.0206397661391	1.15691489362
they	Northanger Abbey	382	0.0104796556786	1.19375
they	Pride and Prejudice	601	0.00208753089991	1.1900990099
they	Persuasion	432	0.000983132807883	1.25217391304
forth	Northanger Abbey	13	0.0481166046308	2.6
john	Emma	88	0.0204107436969	1.41935483871
john	Sense and Sensibility	148	1.11009607973e-13	3.14893617021
painful	Sense and Sensibility	24	0.0326126160761	2.0
manner	Pride and Prejudice	98	0.00596633675899	1.50769230769
latter	Sense and Sensibility	25	0.0364643700953	1.92307692308
aunt	Pride and Prejudice	78	0.00132775366245	1.77272727273
aunt	Mansfield Park	120	1.93788832874e-06	2.06896551724
notion	Northanger Abbey	12	0.0383988301202	3.0
nephew	Pride and Prejudice	20	0.00957538833562	2.85714285714
do	Emma	637	0.000175489361881	1.23689320388
de	Pride and Prejudice	39	9.13886956384e-07	5.57142857143
dr	Mansfield Park	57	7.60841784007e-07	3.5625
received	Pride and Prejudice	61	0.0229995705629	1.525
evil	Mansfield Park	47	0.0252125745901	1.62068965517
the	Northanger Abbey	3166	2.52456743046e-06	1.12309329549
the	Persuasion	3326	0.000109904321108	1.09552042161
the	Mansfield Park	6208	0.00023012008655	1.06483704974
musical	Emma	14	0.0317801875562	2.8
was	Mansfield Park	2659	0.00640304852482	1.07174526401
war	Persuasion	7	0.0351529664198	7.0
true	Emma	66	0.0131991395779	1.57142857143
absent	Mansfield Park	22	0.0400639072895	2.0
brunswick	Emma	11	0.0112291633418	5.5
brothers	Northanger Abbey	29	0.00574850768552	2.41666666667
brothers	Mansfield Park	44	0.0147380426315	1.76
dance	Northanger Abbey	34	0.00154164161685	2.61538461538
muslin	Northanger Abbey	10	0.019283462778	5.0
churchill	Emma	193	3.40478404215e-24	4.48837209302
marked	Pride and Prejudice	13	0.0481201199207	2.6
live	Sense and Sensibility	36	0.0150050969792	1.89473684211
heart	Northanger Abbey	72	0.0283626003974	1.44
heart	Sense and Sensibility	127	0.000282838194249	1.64935064935
write	Pride and Prejudice	39	0.0384438950787	1.625
staircase	Northanger Abbey	11	0.0286809927218	3.66666666667
indeed	Emma	202	0.0018822804043	1.37414965986
raised	Northanger Abbey	13	0.0481166046308	2.6
cold	Emma	54	0.00401431838604	1.86206896552
not	Emma	2151	4.40058805599e-05	1.1309148265
hall	Persuasion	28	0.000595918456598	3.5
nor	Sense and Sensibility	88	0.0251876478768	1.39682539683
invitation	Sense and Sensibility	32	0.0459400003893	1.68421052632
invitation	Pride and Prejudice	34	0.0267065029242	1.78947368421
directly	Northanger Abbey	36	0.0313442310403	1.71428571429
silent	Sense and Sensibility	37	0.0239567082776	1.7619047619
friend	Emma	166	0.024111373024	1.26717557252
friend	Northanger Abbey	95	0.00667703959839	1.50793650794
that	Pride and Prejudice	1579	5.3466923987e-05	1.15339663988
than	Sense and Sensibility	362	0.0382891799612	1.14920634921
apples	Emma	15	0.00960368005311	3.75
price	Mansfield Park	106	2.25085022487e-13	4.24
forever	Northanger Abbey	9	0.0107401984724	9.0
mrs	Emma	701	4.59701720292e-06	1.28860294118
mrs	Sense and Sensibility	530	2.36288254041e-05	1.30864197531
concert	Persuasion	20	0.000243937862977	6.66666666667
blame	Pride and Prejudice	16	0.046562151148	2.28571428571
williams	Mansfield Park	22	0.00805996383135	2.75
etc	Pride and Prejudice	13	0.0245170005856	3.25
gentlemen	Pride and Prejudice	35	0.0054826649268	2.1875
inquiry	Sense and Sensibility	20	0.0493580447517	2.0
struck	Northanger Abbey	22	0.0400556308172	2.0
read	Northanger Abbey	45	0.00516053225921	1.95652173913
lady	Pride and Prejudice	183	0.0069335860445	1.32608695652
lady	Persuasion	214	3.1172339143e-12	2.27659574468
pounds	Sense and Sensibility	41	0.000342299019842	2.73333333333
twelve	Northanger Abbey	13	0.0245147687481	3.25
your	Sense and Sensibility	385	0.0119798148518	1.18827160494
your	Pride and Prejudice	456	3.82410723897e-06	1.38181818182
cottage	Sense and Sensibility	61	2.82050961658e-07	3.58823529412
trying	Mansfield Park	46	0.0024494447664	2.09090909091
you	Emma	1999	1.48447498345e-06	1.16559766764
you	Northanger Abbey	918	0.0151126841718	1.1100362757
building	Northanger Abbey	12	0.0175738154404	4.0
very	Emma	1212	4.72081381392e-17	1.44802867384
smith	Emma	78	5.19736516051e-05	2.16666666667
smith	Persuasion	61	6.31353808173e-07	3.38888888889
family	Pride and Prejudice	152	0.000294821982421	1.56701030928
history	Persuasion	16	0.0262317049466	2.66666666667
acquaintance	Persuasion	61	0.0132402141297	1.60526315789
a	Emma	3126	0.0204904583373	1.05358948433
a	Northanger Abbey	1534	0.0280388559152	1.07272727273
a	Mansfield Park	3096	0.0366599224798	1.04700710179
blush	Emma	22	0.0400639336075	2.0
bustle	Mansfield Park	18	0.0377534530155	2.25
help	Mansfield Park	63	0.03220972332	1.46511627907
soon	Pride and Prejudice	216	0.0309843999555	1.21348314607
surprized	Emma	32	3.50939272016e-05	4.57142857143
actually	Emma	29	0.0362171657353	1.8125
robert	Emma	32	0.00567290685112	2.28571428571
robert	Sense and Sensibility	30	0.00216038099855	2.72727272727
dirt	Northanger Abbey	9	0.0327101551967	4.5
miss	Emma	602	1.54343037891e-09	1.45762711864
maple	Emma	31	5.80325184155e-05	4.42857142857
horse	Northanger Abbey	24	0.00166192662721	3.42857142857
emmas	Emma	79	1.35246466374e-10	4.38888888889
grey	Sense and Sensibility	9	0.0327118123188	4.5
bride	Emma	13	0.0245179318996	3.25
darted	Northanger Abbey	7	0.035152713836	7.0
during	Pride and Prejudice	27	0.0442011057317	1.8
alteration	Sense and Sensibility	15	0.0391704503087	2.5
horrid	Northanger Abbey	9	0.0327101551967	4.5
both	Sense and Sensibility	93	0.00995277638791	1.47619047619
liked	Pride and Prejudice	27	0.0192307751534	2.07692307692
along	Northanger Abbey	15	0.0391669022496	2.5
grant	Mansfield Park	134	2.35873940942e-16	4.1875
within	Sense and Sensibility	59	0.0442797679517	1.43902439024
william	Mansfield Park	124	1.32208426402e-10	2.88372093023
e	Emma	10	0.0461393145552	3.33333333333
ignorant	Pride and Prejudice	16	0.046562151148	2.28571428571
go	Northanger Abbey	109	0.00462338322796	1.49315068493
oclock	Northanger Abbey	16	0.0132968303238	3.2
kitty	Pride and Prejudice	69	3.49338554114e-11	5.75
maam	Sense and Sensibility	37	0.00274062371276	2.3125
colonel	Sense and Sensibility	165	1.5485667382e-16	3.4375
melancholy	Sense and Sensibility	21	0.0353687068471	2.1
charming	Northanger Abbey	23	0.0287927152523	2.09090909091
frequently	Pride and Prejudice	23	0.010026798562	2.55555555556
catherine	Northanger Abbey	428	3.05113405923e-71	7.37931034483
signify	Northanger Abbey	11	0.0286809927218	3.66666666667
relations	Pride and Prejudice	24	0.0121483707315	2.4
bed	Northanger Abbey	18	0.0377471559317	2.25
bed	Sense and Sensibility	25	0.0364643700953	1.92307692308
pianoforte	Emma	22	0.0147208255823	2.44444444444
but	Emma	1441	0.00406382479464	1.10675883257
affair	Sense and Sensibility	28	0.0025471107397	2.8
state	Mansfield Park	70	0.0263523903366	1.45833333333
party	Persuasion	61	0.0296614167956	1.48780487805
scarcely	Pride and Prejudice	45	0.0402305049511	1.55172413793
i	Emma	3191	4.60980387518e-12	1.19378974935
well	Emma	384	0.00559411564157	1.21518987342
martin	Emma	72	5.92881756625e-10	4.5
library	Pride and Prejudice	23	0.000455823521905	4.6
shew	Emma	28	0.0217724450313	2.0
equally	Sense and Sensibility	40	0.0067388717658	2.0
he	Emma	1811	0.000799314130968	1.11377613776
he	Pride and Prejudice	1336	0.0236915933024	1.08178137652
he	Persuasion	961	0.00301555461226	1.13862559242
captain	Persuasion	303	3.59177129822e-52	7.76923076923
whose	Pride and Prejudice	59	0.0442803917358	1.43902439024
sweetest	Northanger Abbey	10	0.019283462778	5.0
clothes	Pride and Prejudice	13	0.0245170005856	3.25
new	Northanger Abbey	42	0.0084178606091	1.90909090909
ever	Sense and Sensibility	169	0.0332775165829	1.24264705882
never	Emma	358	0.0160145536588	1.18543046358
calm	Sense and Sensibility	18	0.0377514653552	2.25
tell	Sense and Sensibility	90	0.0217662173638	1.40625
room	Northanger Abbey	92	0.0095452970469	1.48387096774
rights	Persuasion	10	0.0461362894411	3.33333333333
faults	Mansfield Park	21	0.0353709926939	2.1
personal	Persuasion	13	0.0481172914766	2.6
better	Emma	173	0.0399517606326	1.22695035461
batess	Emma	22	0.000756529958794	4.4
girls	Pride and Prejudice	45	0.0033669922676	2.04545454545
bodys	Emma	29	0.000156160350129	4.14285714286
street	Northanger Abbey	42	0.00133271375302	2.33333333333
street	Sense and Sensibility	48	0.0101394561856	1.77777777778
niece	Mansfield Park	41	0.00310641454149	2.15789473684
